timestamp,distance_tracker,distance_wheelchair_FT,distance_wheelchair_v5,distance_drone_FT,distance_drone_v5,distance_range
1.9399,2.5556,,,,,
1.9499,2.5556,,,,,
1.9599,2.5556,,,,,
1.9699,2.5454,,,2.9681,,
1.9799,2.5454,,,2.9681,,
1.9899,2.5454,,,2.9681,,
1.9999,2.5454,,,2.9681,,
2.0099,2.5327,,,2.9487,,
2.0199,2.5327,,,2.9487,,
2.0299,2.5327,,,2.9239,,
2.0399,2.5178,,,2.9239,,
2.0499,2.5178,,,2.9239,,
2.0599,2.5178,,,2.9239,,
2.0699,2.501,,,2.9239,,
2.0799,2.501,,,2.9093,,
2.0899,2.501,,,2.9093,,
2.0999,2.501,,,2.9093,,
2.1099,2.4825,,,2.8889,,
2.1199,2.4825,,,2.8889,,
2.1299,2.4825,,,2.8889,,
2.1399,2.4631,,,2.8678,,
2.1499,2.4631,,,2.8678,,
2.1599,2.4631,,,2.8678,,
2.1699,2.4433,,,2.8362,3.3225,
2.1799,2.4433,,,2.8362,3.3225,
2.1899,2.4433,,,2.8362,3.3225,
2.1999,2.4239,,,2.8062,,
2.2099,2.4239,,,2.8062,,
2.2199,2.4239,2.5331,,2.8062,,
2.2299,2.4239,2.5331,,2.8062,,
2.2399,2.4054,2.5331,,2.7811,,
2.2499,2.4054,2.5331,,2.7811,,
2.2599,2.4054,2.5277,,2.7811,,
2.2699,2.3883,2.5277,,2.7634,,
2.2799,2.3883,2.5277,,2.7634,,
2.2899,2.3883,2.5277,,2.7634,,
2.2999,2.3722,2.5736,,2.7568,,
2.3099,2.3722,2.5736,,2.7568,,
2.3199,2.3722,,,2.7568,,
2.3299,2.3722,,,2.7381,,
2.3399,2.3575,,,2.7381,,
2.3499,2.3575,,,2.7381,,
2.3599,2.3575,,,2.7381,,
2.3699,2.3437,,,2.7227,,
2.3799,2.3437,,,2.7227,,
2.3899,2.3437,,,2.7227,,
2.3999,2.3437,,,2.7186,,
2.4099,2.3302,,,2.7186,,
2.4199,2.3302,,,2.7186,,
2.4299,2.3302,,,2.7186,,
2.4399,2.3168,,,2.7109,,
2.4499,2.3168,,,2.7109,,
2.4599,2.3168,,,2.7109,,
2.4699,2.3029,2.435,,2.7057,,
2.4799,2.3029,2.435,,2.7057,,
2.4899,2.3029,2.4262,,2.7057,,
2.4999,2.2883,2.4262,,2.6854,,
2.5099,2.2883,2.4262,,2.6854,,
2.5199,2.2883,2.4262,,2.6854,,
2.5299,2.2883,2.4074,,2.6854,,
2.5399,2.2727,2.4074,,2.6611,,
2.5499,2.2727,2.4074,,2.6611,,
2.5599,2.2727,2.4074,,2.6611,,
2.5699,2.2565,2.3957,,2.648,,
2.5799,2.2565,2.3957,,2.648,,
2.5899,2.2565,2.4104,,2.648,,
2.5999,2.2565,2.4104,,2.6305,,
2.6099,2.2394,2.4104,,2.6305,,
2.6199,2.2394,2.437,,2.6305,,
2.6299,2.2394,2.437,,2.6305,,
2.6399,2.222,2.437,,2.5868,,
2.6499,2.222,2.437,,2.5868,,
2.6599,2.222,2.4346,,2.5868,,
2.6699,2.2046,2.4346,,2.5455,,
2.6799,2.2046,2.4346,,2.5455,,
2.6899,2.2046,2.4286,,2.5455,,
2.6999,2.2046,2.4286,,2.5455,,
2.7099,2.1873,2.4286,,2.52,,
2.7199,2.1873,2.4712,,2.52,,
2.7299,2.1873,2.4712,,2.52,,
2.7399,2.1703,2.4712,,2.502,,
2.7499,2.1703,2.4712,,2.502,,
2.7599,2.1703,2.3868,,2.502,,
2.7699,2.1541,2.3868,,2.502,,
2.7799,2.1541,2.3868,,2.4833,,
2.7899,2.1541,2.2581,,2.4833,,
2.7999,2.1384,2.2581,,2.4833,,
2.8099,2.1384,2.2581,,2.4643,,
2.8199,2.1384,,,2.4643,,
2.8299,2.1384,,,2.4643,,
2.8399,2.1232,,,2.4473,,
2.8499,2.1232,,,2.4473,,
2.8599,2.1232,,,2.4473,,
2.8699,2.1084,,,2.4419,,
2.8799,2.1084,,,2.4419,,
2.8899,2.1084,2.2256,,2.4419,,
2.8999,2.1084,2.2256,,2.4391,2.6978,
2.9099,2.0941,2.2256,,2.4391,2.6978,
2.9199,2.0941,,,2.4391,2.6978,
2.9299,2.0941,,,2.4391,2.6978,
2.9399,2.0795,,,2.4131,2.6383,
2.9499,2.0795,,,2.4131,2.6383,
2.9599,2.0795,,,2.4131,2.6383,
2.9699,2.065,,,2.3995,,
2.9799,2.065,,,2.3995,,
2.9899,2.065,,,2.3995,,
2.9999,2.065,,,2.3901,,
3.0099,2.05,,,2.3901,,
3.0199,2.05,,,2.3901,,
3.0299,2.05,,,2.3899,,
3.0399,2.0347,,,2.3899,,
3.0499,2.0347,,,2.3899,,
